"","addresses","addressesOrder","addressesRequired","aggScaleID","aggSetID","catSetID","changes","classID","compSet","contacts","contactsOrder","contactsRequired","datasets","datasetsOrder","datasetsRequired","dataType","domainID","firstReleased","groupID","instruments","instrumentsOrder","instrumentsRequired","languages","languagesOrder","partLabel","lastUpdated","latExp","maxLength","maxValue","measures","measureSets","measureSetsOrder","measureSetsRequired","measuresOrder","measuresRequired","minLength","minValue","nomenclatureID","organizations","organizationsOrder","organizationsRequired","ontologyRef","partDesc","partID","partInstr","parts","partType","polygons","polygonsOrder","polygonsRequired","protocolRelationships","protocols","protocolsOrder","protocolsRequired","protocolSteps","protocolStepsOrder","protocolStepsRequired","qualityReports","qualityReportsOrder","qualitySetID","refLink","sampleRelationships","sampleRelationshipsOrder","sampleRelationshipsRequired","samples","samplesOrder","samplesRequired","sets","setsOrder","shortName","sites","sitesOrder","sitesRequired","specimenSet","status","translations","translationsOrder","unitSetID"
"11","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Academic institution organization type","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","input","NA","NA","NA","The category of organization type used for academic institutions or research groups.","academ","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"12","NA","NA","NA","NA","linearAggrSet","NA","now a unit for any group or biologic infection","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","integer","Bio","1.0","naGroup","NA","NA","NA","NA","NA","Number of active cases","2.0","$people$","NA","NA","input","NA","NA","NA","NA","NA","NA","0","naNomenclature","NA","NA","NA","NA","Number of active cases.","acti","NA","NA","unit","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","poSpecimen","active","NA","NA","naUnitSet"
"13","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Active","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Indicator to say that a part is in current use in the model. See partID = status","active","NA","input","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"14","NA","NA","NA","NA","naAggrSet","NA","Github Issue #211","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","datetime","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Analysis date","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Date the measurement was performed in the lab.","aDate","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"15","NA","NA","NA","NA","naAggrSet","NA","Depreciated. See issue #211. https://github.com/Big-Life-Lab/PHES-ODM/issues/211","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","datetime","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Analysis date end","2.0","NA","30","NA","header","NA","NA","NA","10","mandatory","0","NA","naNomenclature","NA","NA","NA","NA","Date the measurement or analysis was completed.","aDateEnd","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"16","NA","NA","NA","NA","naAggrSet","NA","NA","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","datetime","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Analysis date start","2.0","NA","30","NA","header","NA","NA","NA","9","optional","0","NA","naNomenclature","NA","NA","NA","NA","Date the measurement or analysis was started.","aDateStart","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"17","header","3","mandatory","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Address Line 1","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Line 1 (the street name, number and direction) for a given address.","addL1","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"18","header","4","optional","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Address Line 2","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Line 2 (the unit number) for a given address.","addL2","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"19","NA","NA","NA","NA","naAggrSet","NA","NA","programDescr","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Address Table","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","The table that contains information about addresses, which can be fore Sites, individuals reporting data, or organizations.","addresses","adapt from verson 1 documentation","header","table","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ad","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"20","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","integer","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Addresses table column order","2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","naNomenclature","NA","NA","NA","NA","Specifies the order of the columns in the Addresses table.","addressesOrder","NA","header","tableSupport","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"21","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Requirement","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Specifies the columns required in a Addresses table.","addressesRequired","NA","header","tableSupport","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"22","pK","1","mandatory","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Address ID","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","fK","3","mandatory","NA","A unique identifier for an address.","addressID","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fK","7","optional","naSpecimenSet","active","NA","NA","naUnitSet"
"23","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","airCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","colGrp","NA","NA","NA","NA","NA","Air filter","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Air filter as part of filtration or circulating unit.","afu","Typically the unit would have a fan or blower.","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"24","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","categorical","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Aggregation","2.0","NA","12","NA","fK","NA","NA","NA","19","mandatory","0","NA","naNomenclature","NA","NA","NA","NA","Statistical measures used to report a measure. Each aggregation has a corresponding value.","aggID","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","fK","13","mandatoryIf","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"25","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Aggregation scale","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","The scale of an aggregation set. Aggregation scales include quantitative and qualitative.","aggScale","NA","NA","partType","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"26","NA","NA","NA","NA","naAggrSet","NA","added in version 2","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Aggregation sets","2.0","NA","15","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Sets of aggregations that can be used for measures. Examples of aggregation sets include logarithm, linear and boolean.","aggSet","Sets are lists of input values. Each input value within a set is a part (has a partID) that can be reused between sets. For example, a set A could contain the values of 'yes' and 'no'; and set B could contain the values of 'yes', 'no', and 'maybe.' partTypes with sets include aggregations, compartments, missingness, quality flags, specimens, and units. Measures with categories and dataTypes have their own specific category sets (catSetID) because their input values are unique and are not reused.","input","partType","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"27","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","categorical","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Aggregation Scale ID","2.0","NA","12","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","A scale used for an aggregation. See partID = … Only applicable for measures and units.","aggScaleID","NA","header","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"28","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Aggregations","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Statistical measures used to report a measure. Each measure reported as a number should be reported with an aggregation.","aggregation","NA","input","partType","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"29","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","categorical","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Aggregation Set ID","2.0","NA","12","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","The ID for an aggreatation set. Mainly applicable to partType =  ""units"".","aggSetID","NA","header","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"30","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","Bio","2.0","naGroup","NA","NA","NA","NA","NA","Inhibition present but addressed","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","The original sample was inhibited; however, the inhibition has been addressed through dilution. The reported concentration estimate is the updated result after addressing inhibition.","ai","NA","NA","quality","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"31","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","airCompartment","NA","NA","NA","NA","NA","NA","varchar","allDo","2.0","naGroup","NA","NA","NA","NA","NA","Air compartment set","2.0","NA","15","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","A compartment set for measures and methods in the air compartment.","airCompartmentSet","NA","input","compSetPT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","anySpecimen","active","NA","NA","naUnitSet"
"32","NA","NA","NA","NA","naAggrSet","NA","description wording, structure","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","1.0","colGrp","NA","NA","NA","NA","NA","Airplane","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Airplane","airpln","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"33","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","airSurfaceCompartment","NA","NA","NA","NA","NA","NA","varchar","allDo","2.0","naGroup","NA","NA","NA","NA","NA","Air and surface compartment set","2.0","NA","15","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","A compartment set for measures and methods in the air or surface compartments.","airSurfaceCompartmentSet","NA","input","compSetPT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","anySpecimen","active","NA","NA","naUnitSet"
"34","NA","NA","NA","see unit","naAggrSet","NA","description wording, structure","tempClass","anyCompartment","NA","NA","NA","NA","NA","NA","float","Phy","1.0","siteFeat","NA","NA","NA","NA","NA","Environmental Temperature","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","Environmental temperature.","airTemp","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","siSpecimen","active","NA","NA","temperatureUnitSet"
"35","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","airWaterCompartment","NA","NA","NA","NA","NA","NA","varchar","allDo","2.0","naGroup","NA","NA","NA","NA","NA","Air and water compartment set","2.0","NA","15","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","A compartment set for measures and methods in the air or water compartments.","airWaterCompartmentSet","NA","input","compSetPT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","anySpecimen","active","NA","NA","naUnitSet"
"36","NA","NA","NA","NA","naAggrSet","NA","depreciated","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Alias depreciated","2.0","NA","10","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","ID of an assay that is the same or similar. A comma separated list.","aliasDep","Deprecated as of version 2, please avoid use. Use notes instead.","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","depreciated","NA","NA","naUnitSet"
"37","NA","NA","NA","NA","naAggrSet","NA","depreciated","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","varchar","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Alias ID depreciated","2.0","NA","10","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Alias id","aliasIDDep","ID of an assay that is the same or similar. a comma separated list.","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","depreciated","NA","NA","naUnitSet"
"38","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","allDo","2.0","naGroup","NA","NA","NA","NA","NA","All domains","2.0","NA","15","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Domain that specifies that it could apply to al domains; biological, chemical, and physical.","allDo","NA","input","domain","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","anySpecimen","active","NA","NA","naUnitSet"
"39","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","allele","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","Bio","2.0","naGroup","NA","NA","NA","NA","NA","Alleles class","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Specifies a collection of measures/methods related to alleles.","allele","NA","input","class","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"40","NA","NA","NA","NA","naAggrSet","NA","added in version 2","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","categorical","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Allele unit set","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Unit set for alleles.","alleleUnitSet","NA","input","unitSet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","siSpecimen","active","NA","NA","alleleUnitSet"
"41","NA","NA","NA","NA","naAggrSet","booleanSet","depreciated","naClass","naCompartmentSet","NA","NA","NA","NA","NA","NA","boolean","naDomain","1.0","naGroup","NA","NA","NA","NA","NA","Access to all org","2.0","NA","1","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations.","allOrgs","NA","NA","attribute","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","depreciated","NA","NA","naUnitSet"
"42","NA","NA","NA","NA","naAggrSet","NA","added in version 2, added from NWSS","naClass","waterCompartment","NA","NA","NA","NA","NA","NA","varchar","Che","2.0","procGrp","NA","NA","NA","NA","NA","Aloh3 precipitation","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Aloh3 precipitation","aloh3","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
