"","changes","firstReleased","langID","partLabel","lastUpdated","partDesc","partID","partInstr","notes"
"44","depreciated","1.0","eng","Assay ID","2.0","Links with the AssayMethod used to perform the analysis. Use instrument.ID for measures that are not viral measures.","asId","Deprecated as of version 2, please avoid use. Refer to methodID instead.",NA
"45","added in V2.0","2.0","eng","Attributes","2.0","An attribute of a domain, specimen, compartment, or reportTable.","attribute","Attributes are one of the three main components or ways to report environment surviellence data. The other two components are measures and methods.",NA
"46","added in V2.0","2.0","eng","Trace levels of contamination","2.0","Analytical result may be subject to “trace” levels of contamination; the target analyte was also detected in negative controls on the same run as the sample.","b","NA",NA
"47","added in V2.0","2.0","eng","Bacteria unit set","2.0","Unit set for bacteria-related measurements.","bacterialUnitSet","NA",NA
"48","added in V2.0","2.0","eng","Miscellaneous bacteria group","2.0","A group of measures/methods related to miscellaneous bacteria.","bactMisc","The miscallenous bacteria are often have only one measure or method. When a bacteria has many measures, they will be given their own groupID in updated dictionary versions.",NA
"49","added in V2.0","2.0","eng","Bead beating, extract with MP96","2.0","Nucleaic acid extraction, usually used for solid fraction of a wastewater sample, using bead beating and using an MP96 for final extraction.","bbMP96","NA",NA
"50","added in V2.0","2.0","eng","bcov","2.0","Measure of the amount of bovine coronavirus.","bcov","NA",NA
"51","added in V2.0","2.0","eng","bcov culture Spike Target","2.0","Cultured bovine coronavirus is used as the recovery efficiency control target.","bcovCul","NA",NA
"52","added in V2.0","2.0","eng","bcov vaccine Spike Target","2.0","The bovine coronavirus vaccine is used as the recovery efficiency control target.","bcovVac","NA",NA
"53","added in V2.0","2.0","eng","Beef extract flocculation","2.0","Beef extract flocculation.","beeExtractFloc","NA",NA
"54","added in V2.0","2.0","eng","Beta","2.0","B.1.351","beta","NA",NA
"55","added in V2.0","2.0","eng","Biologic","2.0","A living organism or biological substance.","bio","NA",NA
"56","added in V2.0","2.0","eng","Digital droplet emulsification PCR","2.0","Describes a PCR analysis done using BioRad's digital droplet emulsification PCR technology.","bioRadDdpcr","NA",NA
"57","depreciated","1.0","eng","Sewer network file link depreciated","2.0","Link to a file that has any detailed information about the sewer network associated with the site (any format).","blob","NA",NA
"58","added in V2.0","2.0","eng","Binary Large Object (BLOB) Data Type","2.0","The data type for Binary Large Object (BLOB) data.","blob","Only used for the dictionary entries of parts.",NA
"59","Issue #120","2.0","eng","Breadth of coverage (>=5x depth)","2.0","Positions with read depth greater or equal to 5.","boc","Report as percentage of positions.",NA
"60","description wording, structure","1.1","eng","5-Day Carbonaceous Biochemical Oxygen Demand","2.0","The quantity of oxygen utilized for the biochemical degradation of organic matter under standard laboratory procedures in five (5) days in the presence of a nitrification inhibitor, expressed in milligrams per litre (mg/l).","bod5c","NA",NA
"61","description wording, structure","1.1","eng","5-day Total Biochemical Oxygen Demand","2.0","5 day total biochemical oxygen demand.","bod5t","NA",NA
"62","added in V2.0","2.0","eng","Boolean data type","2.0","The data type for boolean/binary data.","boolean","Encoded as 'TRUE' or 'FALSE'",NA
"63","added in V2.0","2.0","eng","Boolean value set","2.0","Set that contains the valid possible values for a boolean measure (TRUE or FALSE).","booleanSet","NA",NA
"64","added in V2.0","2.0","eng","Bovine respiratory syncytial virus group","2.0","Bovine respiratory syncytial virus.","brsv","NA",NA
"65","added in V2.0","2.0","eng","brsv culture Spike Target","2.0","Cultured bovine respiratory syncytial virus (BRSV) is used as the recovery efficiency control target.","brsvCul","NA",NA
"66","added in V2.0","1.0","eng","BRSV-N","2.0","bovine respiratory syncytial virus capsid protein gene region","brsvN","NA",NA
"67","added in V2.0","2.0","eng","brsv vaccine Spike Target","2.0","The bovine respiratory syncytial virus (BRSV) vaccine is used as the recovery efficiency control target.","brsvVac","NA",NA
"68","NA","2.0","eng","Purpose","2.0","The reason the measure or sample was taken.","purposeID","See allowed categories: report, quality control, validation study, test",NA
"69","description wording, structure","1.0","eng","Polygon ID","2.0","Unique identifier for the polygon.","polygonID","A polygon is a geographic are representing the capment area of an environmental sample.",NA
"70","added in V2.0","2.0","eng","Capacity unit set","2.0","Unit set for capacity measurements.","capacityUnitSet","NA",NA
"71","added in V2.0","2.0","eng","Categorical Data Type","2.0","The data type for categorical data.","categorical","Only used for the dictionary entries of parts.",NA
"72","added in V2.0","2.0","eng","Categories","2.0","A category of a measure, method or attribute.","category","A use-case example of categories would be how they are used to record the site where a measure is taken (partID = geoType). For the geoType attribute there are different type of sites where samples can be taken: a wastwater treatment plant, airplane holding tank, wastwater pumping station, etc. Each of these site types is recorded as a category that can be identified in categorySetID = sTypeCatSets",NA
"73","added in V2.0","2.0","eng","Category sets","2.0","The part type for category sets.","catSet","Only used for the dictionary entries of parts.",NA
"74","added in V2.0","2.0","eng","Aggregation Scale ID","2.0","A scale used for an aggregation. See partID = … Only applicable for measures and units.","aggScaleID","NA",NA
"75","description wording, structure","1.0","eng","Site Type","2.0","Type of site or institution where sample was taken.","siteTypeID","NA",NA
"76","added in version 2","2.0","eng","Sampleshed","2.0","A geographic area, physical space, or structure. A sample is taken from a sampleshed for a representative measurement of a substance(s).","samshed","Examples: Airplane, Long-term care home, Neighbourhood, University campus, Municipality",NA
"77","added in V2.0","2.0","eng","Address ID","2.0","A unique identifier for an address.","addID","NA",NA
"78","description wording, structure","1.0","eng","Site ID","2.0","Unique identifier for the location where a sample was taken.","siteID","NA",NA
"79","description wording additional categories added (from NWSS)","1.0","eng","Sample material","2.0","Type of sample.","saMaterial","NA",NA
"80","description wording.","1.1","eng","Degrees Celcius","2.0","Degrees Celsius.","cel","NA",NA
"81","added in V2.0","2.0","eng","Centrifugation","2.0","Describes solid separation from a wastewater sample via centrifugation. Likely connected to other method steps prior to analysis.","cent","NA",NA
"82","added in V2.0","2.0","eng","Centricon ultrafiltration","2.0","Centricon ultrafiltration.","centriconUf","NA",NA
"83","added in V2.0","2.0","eng","Ceres nanotrap","2.0","Ceres nanotrap.","ceres","NA",NA
"84","description wording.","1.0","eng","CFU per 100 ml","2.0","Colony forming units per 100 ml of filtered sample.","cfu","NA",NA
"85","added in V2.0","2.0","eng","Aggregation Set ID","2.0","The ID for an aggreatation set. Mainly applicable to partType =  ""units"".","aggSetID","NA",NA
"86","added in V2.0","2.0","eng","Chemical","2.0","A chemical compound.","che","NA",NA
"87","added in V2.0","2.0","eng","Chemagic viral dna/rna 300 kit","2.0","Nucleic acid extraction performed using the chemagic viral dna/rna 300 kit.","chemVir","NA",NA
"88","changed to a relationshipID value.","1.0","eng","Child relationship","2.0","Indicated that this is a sample generated from (an)other sample(s) either because of pooling or sub-sampling.","child","NA",NA
"89","description wording, structure","1.0","eng","Airplane","2.0","Airplane","airpln","NA",NA
"90","NA","1.0","eng","Clarified sample","2.0","Clarified sample.","clari","NA",NA
"91","added in V2.0","2.0","eng","Classes","2.0","A class is a collection of one or more related measures or methods within a group. A group can have one more more classes to describe different parts or the class.","class","See partID = classID.",NA
"92","added in V2.0","2.0","eng","Dataset ID","2.0","The name of the dataset that stores information for MeasureReport, SampleReport and other reporting tables.","datasetID","Where possible, datasetID name should correspond the orignial data custodian responsible for generating environmental data. (suggestion for a default name convention.)",NA
"93","added in V2.0","2.0","eng","Cloudy","2.0","Qualitative category for the weather measure, specifying an overcast day with no rain.","cloudy","NA",NA
"94","added in V2.0","2.0","eng","Centimetres","2.0","Unit part for the SI unit of centimetres.","cm","NA",NA
"95","added in V2.0","2.0","eng","Carbon Dioxide","2.0","A measure of an amount or concentraion of carbon dioxide.","co2","NA",NA
"96","description wording, structure","1.0","eng","Chemical Oxygen Demand","2.0","Chemical oxygen demand.","cod","NA",NA
"97","added in V2.0","2.0","eng","Collection group","2.0","A group of measurement-like attributes related to sample collection.","colGrp","NA",NA
"98","added in V2.0","2.0","eng","Instrument category set","2.0","List of instruments that are used for measures and methods","insTypeCatSet","NA",NA
"99","added in V2.0","2.0","eng","Report Set ID","2.0","Unique identifier that links together a group of related measures.","meaureSetRepID","NA",NA
"100","NA","1.0","eng","Analysis date start","2.0","Date the measurement or analysis was started.","aDateStart","NA",NA
"101","description wording, structure","1.0","eng","Branch sewer pipleline","2.0","Specifies a site type that is collection pipe that run lateral to other municpal sewer lines, allowing drainage into the main sewer.","bSwrPpl","NA",NA
"102","added in V2.0","2.0","eng","Co-located Sample","2.0","Second or multiples samples collected at same location but different time (water, air) or at a nearby location (soil, sediment). Sent blind to laboratory.","colocated","NA",NA
"103","depreciated","1.0","eng","Column name","2.0","Name for the column","columnName","Depreciated in ODM version 2. Look-up tables are now incoprated into parts and sets.",NA
"104","Use grab with collection number (collectNum) = 3","1.0","eng","Composite grab sample of 3","2.0","A grab-composite sample composed of 3 separate grab samples.","comp3","NA",NA
"105","depreciated","1.0","eng","Composite Grab Sample of 3 Depreciate","2.0","A grab-composite sample composed of 3 separate grab samples.","comp3dep","Deprecated in version 2, please do not use.",NA
"106","Use grab with collection period (collectPer) = 3","1.0","eng","Composite 3hr grab sample","2.0","A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.","comp3h","NA",NA
"107","depreciated","1.0","eng","Composite 3hr grab sample depreciate","2.0","A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.","comp3hdep","Deprecated in version 2, please do not use.",NA
"108","depreciated","1.0","eng","Composite 8hr Grab Sample Depreciated","2.0","An 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.","comp8","Deprecated in version 2, please do not use.",NA
"109","Use grab with collection period (collectPer) = 3","1.0","eng","Composite 8hr grab sample","2.0","A 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.","comp8h","NA",NA
"110","added in V2.0","2.0","eng","Compartments","2.0","An substance from which a sample was taken.","compartment","NA",NA
"111","added in V2.0","2.0","eng","Compartment","2.0","The environmental entity from which a sample was taken for a given part.","compID","Compartments include: air, surface and water. Wastewater has componentID = water. Mostly applicable for measures, methods, units, and aggregations.",NA
"112","NA","1.0","eng","Sample concentrate","2.0","Sample concentrate.","conc","NA",NA
"113","now a unit for any group or biologic infection","1.0","eng","Confirmed Cases Case Report Date","2.0","Date that the numbers were reported publicly for a confirmed case. Typically, reported data and this measure is most commonly reported and used.","conCase","NA",NA
"114","description wording, structure","1.0","eng","Water conductivity","2.0","Measurement of conductivity of sample or site.","cond","NA",NA
"115","added in V2.0","2.0","eng","Conductivity unit set","2.0","Unit set related to conductivity measurements.","conductivityUnitSet","NA",NA
"116","now a unit for any group or biologic infection","1.0","eng","Number of confirmed cases","2.0","Number of confirmed cases.","conf","NA",NA
"117","now a unit for any group or biologic infection","1.0","eng","Confirmed cases episode date","2.0","Episode date is the earliest of onset, test or reported date for a confirmed case.","confEp","NA",NA
"118","now a unit for any group or biologic infection","1.0","eng","Confirmed Cases Onset Date","2.0","Earliest that symptoms were reported for a confirmed case. This data is often not known and reported. In lieu, episode is used.","confOn","NA",NA
"119","added in V2.0","1.1","eng","Organization ID","2.0","A unique identifier for the organization to which the reporter is affiliated.","orgID","NA",NA
"120","depreciated","1.0","eng","Contact name","2.0","Contact person or group, for the lab.","contactName","Depreciated in ODM version 2. see 'name'",NA
"121","added in V2.0","2.0","eng","Category Set ID","2.0","The category set that corresponds to a given part. A set of categories used for a method or measure. Only applicable for categorical fields, and the categories that populate them.","catSetID","NA",NA
"122","now a unit for any group or biologic infection","1.0","eng","Confirmed Cases Test Date","2.0","Date that the covid-19 test was performed for a confirmed case.","conTest","NA",NA
"123","description wording, structure","1.0","eng","Building cleanout","2.0","Specifies a site type that is a capped pipe that connects to a building's main sewer line.","buildCO","NA",NA
"124","added in V2.0","2.0","eng","COSCa ball","2.0","COSCa passive sampling device.","cosca","Use collectionPeriod to describe how many hours the ball was used to collect the sample",NA
"125","added in V2.0","2.0","eng","Address Line 1","2.0","Line 1 (the street name, number and direction) for a given address.","addL1","NA",NA
"126","added in V2.0","2.0","eng","Covid-19","2.0","Covid-19 infection.","cov","Any form of Covid-19 human infetion - including testing for Covid-19, symptomatic Covid-19, asymptomatic Covid-19, hospitalized Covid-19, long-Covid-19, etc. If needed, define the specific form Covid-19 with units. See populationUnits.",NA
"127","added in V2.0","1.1","eng","SARS-CoV-2-B.1.1.7","2.0","Variant B.1.1.7 of the SARS-CoV-2 virus.","covB117","NA",NA
"128","added in V2.0","1.1","eng","SARS-CoV-2-B.1.351","2.0","Variant B.1.351 of the SARS-CoV-2 virus.","covB135","NA",NA
"129","description wording, structure","1.0","eng","SARS-CoV-2-E","2.0","SARS-CoV-2 E gene.","covE","NA",NA
"130","description wording, structure","1.0","eng","SARS-CoV-2-N1","2.0","SARS-CoV-2 nucleocapsid gene, allele 1.","covN1","NA",NA
"131","description wording, structure","1.0","eng","SARS-CoV-2-N2","2.0","SARS-CoV-2 nucleocapsid gene, allele 2.","covN2","NA",NA
"132","description wording, structure","1.0","eng","SARS-CoV-2-N3","2.0","SARS-CoV-2 nucleocapsid gene, allele 3.","covN3","NA",NA
"133","description wording, structure","1.1","eng","SARS-CoV-2-P.1","2.0","Variant P.1 of the SARS-CoV-2 virus.","covP1","NA",NA
"134","description wording, structure","1.0","eng","SARS-CoV-2-RdRp","2.0","SARS-CoV-2 RdRp gene.","covRdrp","NA",NA
"135","depreciated","1.0","eng","Covid-19 Population Measure Date","2.0","date of reporting for covid-19 measure.","cphDate","Depreciated in ODM version 2. The measure identication is now measureReportID with report dates as for any measure report.",NA
"136","depreciated","1.0","eng","Cphd ID","2.0","Unique identifier for the table.","cphid","Depreciated in ODM version 2. The measure identication is now measureReportID.",NA
"137","description wording, structure","1.0","eng","crAssphage-N","2.0","crAssphage virus capsid protein gene region","cra","NA",NA
"138","description wording.","1.0","eng","Cycle threshold","2.0","Cycle thresholds in a PCR assay.","ct","NA",NA
"139","added in V2.0","2.0","eng","Cumulative count","2.0","Units for describing a population measure of a cumulative count of cases of a given disease.","cuCo","Unit for a population or disease measure to explain population-level clinical effects.",NA
"140","added in V2.0","2.0","eng","d377y delta-variant gene target","2.0","d377y delta-variant gene target.","d377y","NA",NA
"141","added in V2.0","2.0","eng","d3g omicron-variant gene target","2.0","d3g omicron-variant gene target.","d3g ","NA",NA
"142","added in V2.0","2.0","eng","d63g delta-variant gene target","2.0","d63g delta-variant gene target.","d63g","NA",NA
"143","added in V2.0","2.0","eng","d796y omicron-variant gene target","2.0","d796y omicron-variant gene target.","d796y ","NA",NA
"144","added in V2.0","2.0","eng","d950n delta-variant gene target","2.0","d950n delta-variant gene target.","d950n","NA",NA
"145","added in V2.0","2.0","eng","Daily count","2.0","Units for describing a population measure of a daily count of new cases of a given disease.","daiCo","Unit for a population or disease measure to explain population-level clinical effects.",NA
"146","Depreciated. See issue #211. https://github.com/Big-Life-Lab/PHES-ODM/issues/211","1.0","eng","Analysis date end","2.0","Date the measurement or analysis was completed.","aDateEnd","NA",NA
"147","added in V2.0","2.0","eng","Address Line 2","2.0","Line 2 (the unit number) for a given address.","addL2","NA",NA
"148","added in V2.0","2.0","eng","Changes column","2.0","A column for recording the changes from a previous version.","changes","Use this column as a short-hand change log for dictionary development.",NA
"149","added in V2.0","2.0","eng","Class","2.0","A unique identifier for a class, which is akin to a sub-group; it's a way of grouping parts within a given groupID. A group can have one or more classes to describe different parts of the class.","classID","Currently, class is only used for biologics. For example, SARS-CoV-2 is a group of measures with the following classes of allele, variant, mutation, sequence, and protein.",NA
"150","added in V2.0","2.0","eng","Concentration method category set","2.0","CatSeteogry set for concentration methods.","methodConcCatSet","NA",NA
"151","depreciate","1.0","eng","Date","2.0","Date","date","date on which the assayMethod was created or updated (for version update).",NA
"152","added in V2.0","2.0","eng","Datetime Data Type","2.0","The data type for date and time data.","datetime","Only used for the dictionary entries of parts.",NA
"153","added in V2.0","2.0","eng","ddcov_e sars-cov-2 gene target","2.0","ddcov_e sars-cov-2 gene target.","ddcovE","NA",NA
"154","added in V2.0","2.0","eng","ddcov_n sars-cov-2 gene target","2.0","ddcov_n sars-cov-2 gene target.","ddcovN ","NA",NA
"155","added in V2.0","2.0","eng","Deaths","2.0","Units for describing a population measure of patients who have died from a given cause.","death","Unit for a population or disease measure to explain population-level clinical effects.",NA
"156","added in V2.0","2.0","eng","del 157/158","2.0","157 or 158 deletion delta-variant gene target","del157","NA",NA
"157","added in V2.0","2.0","eng","del143/145 ","2.0","143 or 145 deletion omicron-variant gene target.","del143","NA",NA
"158","added in V2.0","2.0","eng","del2084/2084 ","2.0","2084 or 2084 deletion omicron-variant gene target.","del2084","NA",NA
"159","added in V2.0","2.0","eng","del212/212 ","2.0","212 or 212 deletion omicron-variant gene target.","del212","NA",NA
"160","added in V2.0","2.0","eng","del3674/3676 ","2.0","3674 or 3676 deletion omicron-variant gene target.","del3674","NA",NA
"161","added in V2.0","2.0","eng","del69/70 ","2.0","69 or 70 deletion omicron-variant gene target.","del6970","NA",NA
"162","added in V2.0","2.0","eng","Delta","2.0","B.1.617.2","delta","NA",NA
"163","added in V2.0","2.0","eng","Depreciated","2.0","Indicator to say that a part is no longer in current use in the model. See partID = status","depreciated","NA",NA
"164","added in V2.0","2.0","eng","Derived sample","2.0","Specifies a sample that is derrived or made from another sample or material.","derived","NA",NA
"165","description wording, structure","1.0","eng","City","2.0","The city where a site or organization is located; part of the address.","city","NA",NA
"166","added in V2.0","2.0","eng","Description of change","2.0","A description of change in a part from the previous verion","descrChange","NA",NA
"167","added in V2.0","2.0","eng","Desk or counter","2.0","Desk, table, countertop or other flat working surface.","desk","NA",NA
"168","NA","1.0","eng","Dewatered solids","2.0","Dewatered solids.","deso","NA",NA
"169","description wording.","1.1","eng","Detected","2.0","Substance detected or not detected.","det","1 = detected, 0 = not detected",NA
"170","depreciate","1.0","eng","Access to details","2.0","More details on the existing confidentiality requirements of this measurement.","details","NA",NA
"171","added in V2.0","2.0","eng","Dilution factor","2.0","Specifies the extent to which a sample or aliquot was diluted prioir to analysis.","dilFact","Dilution factor is reported as a unitless measure, where a value of 10 indicates a 10:1 dilution.",NA
"172","added in V2.0","2.0","eng","Disease (human)","2.0","Specifies a collection of measures/methods related to disease or infection in humans.","disease","NA",NA
"173","added in V2.0","2.0","eng","Dissolved gas concentration unit set","2.0","Unit set for carbon dioxide concentrations measurements in water or air.","dissGasUnitSet","NA",NA
"174","Issue #120","2.0","eng","Depth of coverage","2.0","The sequencing read depth.","doc","Used to interpret the confidence in a presence or amount of a varient.",NA
"175","added in V2.0","2.0","eng","Domains","2.0","Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).","domain","NA",NA
"176","added in V2.0","2.0","eng","Compartment set","2.0","The set of valid compartments that apply to another given part.","compSet","NA",NA
"177","added in V2.0","2.0","eng","Long term acute care hospital","2.0","Acute care hospitals, or complex contuing care, that provide care for patients with average length of stay longer than 25 days.","ccc","NA",NA
"178","added in V2.0","2.0","eng","e156g delta-variant gene target","2.0","e156g delta-variant gene target","e156g","NA",NA
"179","added in V2.0","2.0","eng","e484a omicron-variant gene target","2.0","e484a omicron-variant gene target","e484a ","NA",NA
"180","description wording, structure","1.0","eng","Escherichia coli","2.0","Concentration of bacteria that are passed through the faecal excrement of humans, livestock and wildlife","ecoli","NA",NA
"181","added in V2.0","2.0","eng","Education","2.0","A measure or sample taken for education or training.","education","Use this purpose, for example, when teaching how to use the PHES-ODM.",NA
"182","added in V2.0","2.0","eng","Organization Type","2.0","Specifies the type or purpose of a given organization.","orgTypeID","NA",NA
"183","description wording, structure","1.0","eng","Rainfall","2.0","Rainfall, i.e. amount of precipitation in the form of rain.","envRnF","NA",NA
"184","description wording, structure","1.0","eng","Ground Snow Depth","2.0","Total depth of snow on the ground.","envSnwD","NA",NA
"185","description wording, structure","1.0","eng","Snowfall","2.0","Snowfall, i.e. amount of precipitation in the form of snow.","envSnwF","NA",NA
"186","depreciate","1.0","eng","Episode Date","2.0","Episode date is the earliest of onset, test or reported date.","epiDate","NA",NA
"187","added in V2.0","2.0","eng","Sarbecovirus-specific E sars-cov-2 gene target","2.0","Sarbecovirus-specific E sars-cov-2 gene target","eSarbec","NA",NA
"188","added in V2.0","2.0","eng","Child day care","2.0","Child day care facility.","cdc","NA",NA
"189","added in V2.0","2.0","eng","Experiment Failed","2.0","PCR experiment failed. No value reported.","expFail","Value should be blank for a measure with this qualityFlag value.",NA
"190","added in V2.0","2.0","eng","Organization type category set","2.0","The category set for storing organization types.","orgTypeCatSet","NA",NA
"191","description wording add categories from NWSS","1.0","eng","Nucleic acid extraction method","2.0","Description of the xtraction method.","extraction","Description of the method used to extract the sample",NA
"192","description wording and unit set","1.0","eng","Extraction volume of sample","2.0","Extraction volume of sample.","exvol","Size of the sample that is analyzed.",NA
"193","NA","1.0","eng","Fecal matter","2.0","Fecal matter.","faeces","NA",NA
"194","added in V2.0","2.0","eng","Inhibition present and unaddressed","2.0","The original sample was inhibited; however, the inhibition has not been successfully addressed. Therefore, no concentration estimate has been reported.","fi","NA",NA
"195","added in V2.0","2.0","eng","Field sample","2.0","Specifies a sample taken from the field; directly collected from an area for testing.","field","NA",NA
"196","added in V2.0","2.0","eng","Field sample replicate","2.0","A sample divided into two or more homogeneous parts.","fieldReplicate","NA",NA
"197","depreciate","1.0","eng","File","2.0","File containing the geometry of the polygon, blob format.","file","Depreciated in ODM version 2. See geoEPSG and geoWKT",NA
"198","added in V2.0","2.0","eng","Filtration","2.0","Describes solid separation from a wastewater sample via filtration. Proceeds further concentration or analysis of the liquid filtrate.","filt","NA",NA
"199","description wording, structure","1.0","eng","Correctional Facility","2.0","Correctional facility","corFcil","NA",NA
"200","added in V2.0","2.0","eng","First name of contact","2.0","Specifies the first name of a given contact.","firstName","NA",NA
"201","description wording, structure","1.0","eng","Contact Table","2.0","The table that contains information about a contact; a person who is the contact of a site or laboratory.","contacts","adapt from verson 1 documentation",NA
"202","added in V2.0","2.0","eng","Foreign key","2.0","Foreign key for a table.","fK","NA",NA
